keyword,cluster_id,source_url,source_domain,evidence_type,intent,page_type_required,est_volume,volume_source,weakness_count,gate_failed,bucket,priority_score,ranking_urls,category,action,own_url,own_position,expected_clicks,trend,peak_window,publish_by,demand_rank,ahrefs_kd,ahrefs_checked
open when you miss me ideas for him,open-when-letters,,,,,,no Ahrefs row,NO-REC,,winnable-now,20,pinterest.com | wattpad.com | openwhen.cards,miss-you,cover-on-head-page,,,,,,,—,yes
miss you long distance love quotes,ldr-miss-you,,,,,,no Ahrefs row,NO-REC,,medium,18,themilitarywifeandmom.com | pinterest.com | yahoo.com,miss-you,cover-on-head-page,,,,,,,—,yes
miss you long distance friendship quotes,miss-you-friend,,,,,,no Ahrefs row,NO-REC,,medium,18,socialself.com | yahoo.com | pinterest.com,miss-you,cover-on-head-page,,,,,,,—,yes
miss you quotes for best friend,miss-you-friend,,,,,,<100/mo,TOOL,,medium,18,womansday.com | pinterest.com | socialself.com,miss-you,cover-on-head-page,,,,,,,Easy (0-10),yes
miss you long distance relationship shayari in hindi,miss-you-shayari-hi,,,,,,no Ahrefs row,NO-REC,,winnable-now,15,adhoorealfaaz.com | pinterest.com | shayaritoyou.com,miss-you,cover-on-head-page,,,,,,,—,yes
what to do when you miss your boyfriend long distance,cope-missing-partner,,,,,,no Ahrefs row,NO-REC,,winnable-now,15,markmanson.net | wikihow.com | psyche.co,miss-you,cover-on-head-page,,,,,,,—,yes
miss you ideas for boyfriend,miss-you-page-tool,,,,,,no Ahrefs row,NO-REC,,own-it-already,15,theknot.com | pinterest.com | fnp.com,miss-you,cover-on-existing-page,,,,,,,—,yes
miss you ideas for girlfriend,miss-you-page-tool,,,,,,no Ahrefs row,NO-REC,,own-it-already,15,theknot.com | pinterest.com | fnp.com,miss-you,cover-on-existing-page,https://subhsandesh.in/,9,,,,,,—,yes
i miss you page for boyfriend,miss-you-page-tool,,,,,,no Ahrefs row,NO-REC,,own-it-already,15,pinterest.com | lovelydesign.in | womansday.com,miss-you,skip — already position 4,https://subhsandesh.in/,4,,,,,,—,yes
i miss you website for girlfriend,miss-you-page-tool,,,,,,no Ahrefs row,NO-REC,,own-it-already,15,subhsandesh.in | lovelydesign.in | yourlovepage.com,miss-you,skip — already position 1,https://subhsandesh.in/,1,,,,,,—,yes
miss you gifts for boyfriend,miss-you-gifts,,,,,,no Ahrefs row,NO-REC,,,,,,,,,evergreen,,evergreen,11,—,yes
miss you long distance shayari,miss-you-shayari-hi,,,,,,>100/mo,TOOL,,winnable-now,10,pinterest.com | adhoorealfaaz.com | shayarilekh.com,miss-you,cover-on-head-page,,,,,,,Easy (0-10),yes
miss you gifts for girlfriend,miss-you-gifts,,,,,,no Ahrefs row,NO-REC,,,,,,,,,evergreen,,evergreen,8,—,yes
miss you gifts for husband,miss-you-gifts,,,,,,no Ahrefs row,NO-REC,,,,,,,,,evergreen,,evergreen,8,—,yes
miss you gifts for wife,miss-you-gifts,,,,,,no Ahrefs row,NO-REC,,,,,,,,,evergreen,,evergreen,8,—,yes
miss you gifts for best friend,miss-you-gifts,,,,,,no Ahrefs row,NO-REC,,,,,,,,,evergreen,,evergreen,8,—,yes
miss you quotes in hindi,miss-you-shayari-hi,,,,,,>100/mo,TOOL,,winnable-now,10,sheroes.com | roohshayari.com | craftoapp.com,miss-you,cover-on-head-page,,,,,,,Hard (31-70),yes
miss you card ideas for friends,miss-you-cards,,,,,,no Ahrefs row,NO-REC,,,,,,,,,evergreen,,evergreen,6,—,yes
miss you gift ideas,miss-you-gifts,,,,,,no Ahrefs row,NO-REC,,,,,,,,,evergreen,,evergreen,4,—,yes
what to do when you miss your boyfriend,cope-missing-partner,,,,,,<100/mo,TOOL,,medium,9,harpersbazaar.in | natashaadamo.com | healthline.com,miss-you,cover-on-head-page,,,,,,,Easy (0-10),yes
creative ways to say i miss you,ways-to-say-miss-you,,,,,,no Ahrefs row,NO-REC,,own-it-already,9,languagetool.org | theknot.com | englishgrammar.org,miss-you,cover-on-existing-page,,,,,,,—,yes
cute ways to say i miss you,ways-to-say-miss-you,,,,,,no Ahrefs row,NO-REC,,own-it-already,9,theknot.com | subhsandesh.in | pinterest.com,miss-you,skip — already position 2,https://subhsandesh.in/,2,,,,,,—,yes
how to tell someone you miss them,ways-to-say-miss-you,,,,,,<100/mo,TOOL,,own-it-already,9,theknot.com | wikihow.com | romper.com,miss-you,cover-on-existing-page,https://subhsandesh.in/,7,,,,,,Easy (0-10),yes
i miss you letter for boyfriend,miss-you-messages,,,,,,no Ahrefs row,NO-REC,,own-it-already,9,wattpad.com | lovetoknow.com | 1001loveletters.com,miss-you,cover-on-existing-page,,,,,,,—,yes
what to do when you miss your girlfriend,cope-missing-partner,,,,,,no Ahrefs row,NO-REC,,medium,6,wikihow.com | healthline.com | en.lovebox.love,miss-you,cover-on-head-page,,,,,,,—,yes
miss you gf captions for instagram,insta-captions,,,,,,no Ahrefs row,NO-REC,,medium,6,pinterest.com | womansday.com | theknot.com,miss-you,cover-on-head-page,,,,,,,—,yes
miss you boyfriend captions for instagram,insta-captions,,,,,,no Ahrefs row,NO-REC,,medium,6,pinterest.com | theknot.com | flick.social,miss-you,cover-on-head-page,,,,,,,—,yes
miss you story ideas for instagram,insta-captions,,,,,,no Ahrefs row,NO-REC,,medium,6,pinterest.com | pinterest.com | instagram.com,miss-you,cover-on-head-page,,,,,,,—,yes
miss you messages for gf,miss-you-messages,,,,,,no Ahrefs row,NO-REC,,own-it-already,6,theknot.com | southernliving.com | subhsandesh.in,miss-you,skip — already position 4,https://subhsandesh.in/,4,,,,,,—,yes
miss you long distance relationship captions for instagram,insta-captions,,,,,,no Ahrefs row,NO-REC,,medium,6,wikihow.com | pinterest.com | pinterest.com,miss-you,cover-on-head-page,,,,,,,—,yes
miss you message for boyfriend,miss-you-messages,,,,,,no Ahrefs row,NO-REC,,own-it-already,6,southernliving.com | theknot.com | subhsandesh.in,miss-you,skip — already position 3,https://subhsandesh.in/,3,,,,,,—,yes
i miss you letter for gf,miss-you-messages,,,,,,no Ahrefs row,NO-REC,,own-it-already,6,pinterest.com | theknot.com | 1001loveletters.com,miss-you,cover-on-existing-page,https://subhsandesh.in/,7,,,,,,—,yes
miss you card ideas for kids,miss-you-cards,,,,,,no Ahrefs row,NO-REC,,,,,,,,,evergreen,,evergreen,7,—,yes
miss you gf shayari in hindi,miss-you-shayari-hi,,,,,,no Ahrefs row,NO-REC,,winnable-now,5,educationaddawithdileep.in | hindixshayari.in | pinterest.com,miss-you,cover-on-head-page,,,,,,,—,yes
