keyword,cluster_id,source_url,source_domain,evidence_type,intent,page_type_required,est_volume,volume_source,weakness_count,gate_failed,bucket,priority_score,ranking_urls,category
how to tie rakhi virtually on video call,C05,GENERATED,,GENERATED,informational,blog,100-400,EST,6,,winnable,60,https://www.igp.com/blog/long-distance-rakhi-celebration-ideas/|https://www.rakhibazaar.com/blog/virtual-raksha-bandhan-celebration-ideas/,rakhi
celebrate raksha bandhan when siblings in different cities,C05,https://nestasia.in/blogs/news/how-to-celebrate-raksha-bandhan-when-you-are-in-different-cities,nestasia.in,TARGETED,informational,blog,200-600,EST,6,,winnable,60,https://nestasia.in/blogs/news/how-to-celebrate-raksha-bandhan-when-you-are-in-different-cities|https://www.igp.com/blog/long-distance-rakhi-celebration-ideas/,rakhi
send rakhi gifts to brother living abroad,C05,https://www.rakhibazaar.com/blog/how-to-send-rakhi-gifts-to-your-brother-living-abroad-while-sitting-at-home/,rakhibazaar.com,TARGETED,commercial,blog,300-900,EST,4,G5,do-not-attempt,12,https://www.rakhibazaar.com/blog/how-to-send-rakhi-gifts-to-your-brother-living-abroad-while-sitting-at-home/,rakhi
raksha bandhan wishes for long distance brother,C06,https://www.igp.com/blog/rakhi-message-long-distance-brother/,igp.com,TARGETED+CONFIRMED,informational,blog,2000-6000,EST,4,,winnable,48,https://www.igp.com/blog/rakhi-message-long-distance-brother/|https://www.floweraura.com/blog/rakhi-wishes-to-brother-who-is-far-away|https://archiesonline.com/blogs/article/rakhi-messages-for-your-brother,rakhi
rakhi wishes to brother who is far away,C06,https://www.floweraura.com/blog/rakhi-wishes-to-brother-who-is-far-away,floweraura.com,TARGETED+CONFIRMED,informational,blog,800-2500,EST,4,,winnable,48,https://www.floweraura.com/blog/rakhi-wishes-to-brother-who-is-far-away|https://www.igp.com/blog/rakhi-message-long-distance-brother/|https://www.rakhibazaar.com/blog/25-raksha-bandhan-wishes-for-brother-who-lives-far-away/,rakhi
25 raksha bandhan wishes for brother who lives far away,C06,https://www.rakhibazaar.com/blog/25-raksha-bandhan-wishes-for-brother-who-lives-far-away/,rakhibazaar.com,TARGETED,informational,blog,300-900,EST,4,,winnable,36,https://www.rakhibazaar.com/blog/25-raksha-bandhan-wishes-for-brother-who-lives-far-away/|https://www.igp.com/blog/rakhi-message-long-distance-brother/,rakhi
rakhi message for brother far away in another country,C06,GENERATED,,GENERATED,informational,blog,200-600,EST,4,,winnable,36,https://www.igp.com/blog/rakhi-message-long-distance-brother/|https://archiesonline.com/blogs/article/rakhi-messages-for-your-brother,rakhi
raksha bandhan shayari in hindi for bhai,C10,https://www.supportmeindia.com/raksha-bandhan-rakhi-shayari/,supportmeindia.com,TARGETED+CONFIRMED,informational,blog,3000-9000,EST,7,,medium,40,https://www.indiatvnews.com/lifestyle/events/raksha-bandhan-shayari-2025-hindi-english-2025-08-09-1002737|https://www.supportmeindia.com/raksha-bandhan-rakhi-shayari/|https://hindishayariforyou.com/raksha-bandhan-shayari-in-hindi/,rakhi
raksha bandhan shayari 2026 hindi english,C10,https://www.indiatvnews.com/lifestyle/events/raksha-bandhan-shayari-2025-hindi-english-2025-08-09-1002737,indiatvnews.com,TARGETED+CONFIRMED,informational,blog,1000-3000,EST,7,,medium,40,https://www.indiatvnews.com/lifestyle/events/raksha-bandhan-shayari-2025-hindi-english-2025-08-09-1002737|https://pureshayari.com/raksha-bandhan-shayari/|https://theindianshayaris.com/raksha-bandhan-shayari/,rakhi
bhai behan shayari raksha bandhan,C10,https://theindianshayaris.com/raksha-bandhan-shayari/,theindianshayaris.com,TARGETED,informational,blog,500-1500,EST,7,,medium,35,https://theindianshayaris.com/raksha-bandhan-shayari/|https://shayariwow.com/best-100-raksha-bandhan-shayari/|https://hindiblogginghub.com/raksha-bandhan-shayari-in-hindi/,rakhi
raksha bandhan wishes for brother in marathi,C11,https://marathiya.com/raksha-bandhan-wishes-for-brother-in-marathi/,marathiya.com,TARGETED+CONFIRMED,informational,blog,500-1500,EST,5,,winnable,40,https://ai.tenorshare.com/messages/raksha-bandhan-message-for-brother-in-marathi.html|https://marathiya.com/raksha-bandhan-wishes-for-brother-in-marathi/|https://www.giboxonline.com/blogs/wishes/heart-touching-raksha-bandhan-quotes-in-marathi,rakhi
raksha bandhan quotes in marathi,C11,https://wishesframes.com/raksha-bandhan-quotes-in-marathi/,wishesframes.com,TARGETED,informational,blog,300-900,EST,5,,winnable,30,https://wishesframes.com/raksha-bandhan-quotes-in-marathi/|https://www.giboxonline.com/blogs/wishes/heart-touching-raksha-bandhan-quotes-in-marathi,rakhi
raksha bandhan message for brother in marathi,C11,https://ai.tenorshare.com/messages/raksha-bandhan-message-for-brother-in-marathi.html,tenorshare.com,TARGETED+CONFIRMED,informational,blog,300-900,EST,5,,winnable,30,https://ai.tenorshare.com/messages/raksha-bandhan-message-for-brother-in-marathi.html|https://marathiya.com/raksha-bandhan-wishes-for-brother-in-marathi/,rakhi
happy raksha bandhan wishes for sister from brother,C16,https://www.floweraura.com/blog/happy-raksha-bandhan-replies-to-sister,floweraura.com,TARGETED+CONFIRMED,informational,blog,2000-6000,EST,3,,medium,36,https://www.floweraura.com/blog/happy-raksha-bandhan-replies-to-sister|https://www.caratlane.com/blog/happy-rakhi-wishes-quotes-messages/|https://parenting.firstcry.com/articles/raksha-bandhan-messages-quotes-and-wishes/,rakhi
rakhi messages for sister from brother,C16,https://www.chocomanualart.com/blogs/news/rakhi-messages-for-sister,chocomanualart.com,TARGETED,informational,blog,800-2500,EST,3,,medium,36,https://www.chocomanualart.com/blogs/news/rakhi-messages-for-sister|https://www.floweraura.com/blog/happy-raksha-bandhan-replies-to-sister,rakhi
happy raksha bandhan replies to sister,C16,https://www.floweraura.com/blog/happy-raksha-bandhan-replies-to-sister,floweraura.com,TARGETED,informational,blog,200-600,EST,3,,medium,24,https://www.floweraura.com/blog/happy-raksha-bandhan-replies-to-sister,rakhi
raksha bandhan video maker with photo and music,C13,https://www.flexclip.com/create/raksha-bandhan-video.html,flexclip.com,TARGETED+CONFIRMED,transactional,tool,1000-3000,EST,5,,medium,36,https://play.google.com/store/apps/details?id=com.dwaraka.raksha.bandhan.video.maker|https://www.flexclip.com/create/raksha-bandhan-video.html|https://www.capcut.com/explore/rakhsha-bandan-song-template,rakhi
rakhi greeting video for brother online,C13,https://vriddle.com/make-raksha-bandhan-rakhi-greetings-video-online/,vriddle.com,TARGETED,transactional,tool,300-900,EST,5,,medium,30,https://vriddle.com/make-raksha-bandhan-rakhi-greetings-video-online/|https://www.selfanimate.com/categories/child/raksha-bandan-video-greeting|https://www.adbanao.com/rakshabandhan-banners-greetings,rakhi
raksha bandhan photo video maker with music,C13,https://www.selfanimate.com/categories/child/raksha-bandan-video-greeting,selfanimate.com,TARGETED,transactional,tool,500-1500,EST,5,,medium,30,https://www.selfanimate.com/categories/child/raksha-bandan-video-greeting|https://www.flexclip.com/create/raksha-bandhan-video.html,rakhi
rakhi wishes for cousin brother,C09,https://www.floweraura.com/quotes/raksha-bandhan/for-cousin,floweraura.com,TARGETED+CONFIRMED,informational,blog,1000-3000,EST,5,,medium,30,https://www.floweraura.com/quotes/raksha-bandhan/for-cousin|https://www.bestmessage.org/happy-raksha-bandhan-wishes-for-cousin-brother/|https://www.caratlane.com/blog/happy-rakhi-wishes-quotes-messages/,rakhi
raksha bandhan quotes for cousin brother,C09,https://www.fnp.com/quotes/raksha-bandhan/for-cousin,fnp.com,TARGETED,informational,blog,500-1500,EST,5,,medium,25,https://www.fnp.com/quotes/raksha-bandhan/for-cousin|https://www.floweraura.com/quotes/raksha-bandhan/for-cousin,rakhi
raksha bandhan business wishes with company logo,C17,https://createcustomwishes.com/greetings-card/raksha-bandhan-2026-business-wishes-add-logo-brand/,createcustomwishes.com,TARGETED,transactional,tool,100-400,EST,8,,medium,24,https://createcustomwishes.com/greetings-card/raksha-bandhan-2026-business-wishes-add-logo-brand/|https://createcustomwishes.com/category/all-festival-wishes/hindu-festivals/raksha-bandhan-rakhi/,rakhi
corporate raksha bandhan greeting for employees,C17,GENERATED,,GENERATED,transactional,tool,100-300,EST,8,,medium,24,https://createcustomwishes.com/greetings-card/raksha-bandhan-2026-business-wishes-add-logo-brand/,rakhi
raksha bandhan caption for instagram with brother,C12,https://www.scoopwhoop.com/quotes/raksha-bandhan-captions/,scoopwhoop.com,TARGETED+CONFIRMED,informational,blog,3000-9000,EST,4,,medium,24,https://www.scoopwhoop.com/quotes/raksha-bandhan-captions/|https://www.indiatvnews.com/lifestyle/events/raksha-bandhan-captions-instagram-2025-2025-08-09-1002752|https://www.wolfglobal.org/blog/raksha-bandhan-instagram-captions,rakhi
instagram captions and status for raksha bandhan,C12,https://www.rakhibazaar.com/blog/instagram-captions-status-for-raksha-bandhan/,rakhibazaar.com,TARGETED,informational,blog,1000-3000,EST,4,,medium,24,https://www.rakhibazaar.com/blog/instagram-captions-status-for-raksha-bandhan/|https://www.scoopwhoop.com/quotes/raksha-bandhan-captions/,rakhi
rakhi quotes one liners for instagram,C12,https://www.bigsmall.in/blogs/unique-gifts/rakhi-quotes-one-liners-rakhi-wishes-and-instagram-captions,bigsmall.in,TARGETED,informational,blog,500-1500,EST,4,,medium,20,https://www.bigsmall.in/blogs/unique-gifts/rakhi-quotes-one-liners-rakhi-wishes-and-instagram-captions|https://sweetheartlines.com/raksha-bandhan-captions/,rakhi
personalised raksha bandhan card with name,C03,https://www.mynameart.com/greeting-cards/raksha-bandhan,mynameart.com,TARGETED+CONFIRMED,transactional,tool,800-2500,EST,9,,medium,36,https://www.funkypigeon.com/cards/rakhi-cards|https://www.zazzle.com/raksha_bandhan_card_with_name_and_message_rakhi-256900026195921970|https://www.canva.com/create/raksha-bandhan-cards/,rakhi
rakhi card with name and message,C03,https://www.zazzle.com/raksha_bandhan_card_with_name_and_message_rakhi-256900026195921970,zazzle.com,TARGETED,transactional,tool,300-900,EST,9,,medium,30,https://www.zazzle.com/raksha_bandhan_card_with_name_and_message_rakhi-256900026195921970|https://www.moonpig.com/us/personalised-cards/p/raksha-bandhan-card/sbt014/,rakhi
rakhi wishes for brother in law jiju,C08,https://www.bestmessage.org/raksha-bandhan-wishes-for-brother-in-law/,bestmessage.org,TARGETED+CONFIRMED,informational,blog,800-2500,EST,3,,medium,18,https://www.bestmessage.org/raksha-bandhan-wishes-for-brother-in-law/|https://www.igp.com/blog/happy-rakhi-wishes-for-brother/|https://www.caratlane.com/blog/happy-rakhi-wishes-quotes-messages/,rakhi
raksha bandhan wishes for bhaiya bhabhi,C08,https://www.igp.com/p-bhaiya-bhabhi-rakhi-special-hamper-260201,igp.com,TARGETED,informational,blog,500-1500,EST,3,,medium,18,https://www.bestmessage.org/raksha-bandhan-wishes-for-brother-in-law/|https://www.igp.com/blog/happy-rakhi-wishes-for-brother/,rakhi
how to send rakhi wishes on whatsapp,C19,https://sheetwa.com/blogs/raksha-bandhan-wishes-for-whatsapp/,sheetwa.com,TARGETED+CONFIRMED,informational,blog,500-1500,EST,5,,winnable,45,https://sheetwa.com/blogs/raksha-bandhan-wishes-for-whatsapp/|https://www.fnp.com/quotes/raksha-bandhan|https://www.greetingbirds.com/blog/happy-rakhi-wishes,rakhi
raksha bandhan whatsapp status with name,C19,https://www.mynameart.com/create-card/happy-raksha-bandhan-wishes-in-hindi-image,mynameart.com,TARGETED,transactional,tool,400-1200,EST,5,,winnable,45,https://sheetwa.com/blogs/raksha-bandhan-wishes-for-whatsapp/|https://www.mynameart.com/create-card/happy-raksha-bandhan-wishes-in-hindi-image,rakhi
rakhi wishes for brother in hindi,C01,https://www.igp.com/blog/raksha-bandhan-wishes-in-hindi/,igp.com,TARGETED+CONFIRMED,informational,blog,10000-30000,EST,6,G5,do-not-attempt,15,https://www.pinterest.com/ideas/rakhi-wishes-for-brother-in-hindi/932638700021/|https://www.igp.com/blog/happy-rakhi-wishes-for-brother/|https://www.partyvillas.in/blog/happy-raksha-bandhan-wishes-in-hindi-english/,rakhi
happy rakhi wishes for brother,C01,https://www.igp.com/blog/happy-rakhi-wishes-for-brother/,igp.com,TARGETED+CONFIRMED,informational,blog,10000-30000,EST,3,G5,do-not-attempt,15,https://www.igp.com/blog/happy-rakhi-wishes-for-brother/|https://www.caratlane.com/blog/happy-rakhi-wishes-quotes-messages/|https://www.rakhi.com/blog/happy-rakhi-wishes-messages,rakhi
emotional raksha bandhan message for brother,C01,https://www.scoopwhoop.com/quotes/raksha-bandhan-quotes-for-brother/,scoopwhoop.com,TARGETED+CONFIRMED,informational,blog,3000-9000,EST,3,G5,do-not-attempt,12,https://www.scoopwhoop.com/quotes/raksha-bandhan-quotes-for-brother/|https://www.floweraura.com/blog/rakhi-wishes-to-brother-who-is-far-away|https://www.adobe.com/express/discover/wishes/raksha-bandhan,rakhi
funny rakhi wishes for brother,C01,https://www.igp.com/blog/funny-raksha-bandhan-wishes-quotes-for-brother/,igp.com,TARGETED+CONFIRMED,informational,blog,1000-3000,EST,4,G5,do-not-attempt,12,https://www.skillmatics.in/blogs/blog/sibling-quotes-funny-rakhi-wishes-for-silly-moments|https://www.damensch.com/blog/happy-raksha-bandhan-wishes-to-make-your-sibling-smile|https://www.scoopwhoop.com/quotes/raksha-bandhan-quotes-for-brother/,rakhi
what to write in a rakhi card for brother,C01,https://www.floweraura.com/blog/what-to-write-in-raksha-bandhan-card,floweraura.com,TARGETED+CONFIRMED,informational,blog,2000-6000,EST,3,G5,do-not-attempt,12,https://www.floweraura.com/blog/what-to-write-in-raksha-bandhan-card|https://www.igp.com/blog/rakhi-messages-for-siblings/|https://www.rakhibazaar.com/blog/what-to-write-in-a-raksha-bandhan-card-words-expressing-love-emotions/,rakhi
rakhi messages for siblings,C01,https://www.igp.com/blog/rakhi-messages-for-siblings/,igp.com,TARGETED,informational,blog,1000-3000,EST,3,G5,do-not-attempt,9,https://www.igp.com/blog/rakhi-messages-for-siblings/|https://www.floweraura.com/blog/what-to-write-in-raksha-bandhan-card,rakhi
raksha bandhan 2026 date and time in india,C07,https://www.rakhi.com/blog/when-is-rakhi-2026-date-muhurat-complete-guide/,rakhi.com,TARGETED+CONFIRMED,informational,blog,30000-100000,EST,7,G5,do-not-attempt,20,https://magicdecor.in/blog/raksha-bandhan-muhurat-2026-rakhi-bandhan-ka-shubh-muhurat-date-time/|https://www.academyofvedicvidya.com/raksha-bandhan-date-2026/|https://www.calendardate.com/raksha_bandhan_2026.htm,rakhi
raksha bandhan 2026 shubh muhurat timing,C07,https://astrozindagi.in/festivals/2026/raksha-bandhan-2026-date/,astrozindagi.in,TARGETED+CONFIRMED,informational,blog,10000-30000,EST,7,G5,do-not-attempt,20,https://astrozindagi.in/festivals/2026/raksha-bandhan-2026-date/|https://www.rakhiz.com/rakhi-article/when-is-rakhi.aspx|https://www.rakhisale.com/when-is-rakhi.asp,rakhi
online rakhi card maker with photo,C04,https://www.canva.com/create/raksha-bandhan-cards/,canva.com,TARGETED+CONFIRMED,transactional,tool,2000-6000,EST,4,G4,do-not-attempt,20,https://www.canva.com/create/raksha-bandhan-cards/|https://www.papaprints.co.uk/products/personalized-raksha-bandhan-greeting-card|https://createcustomwishes.com/category/all-festival-wishes/hindu-festivals/raksha-bandhan-rakhi/,rakhi
free raksha bandhan greeting card template download,C04,https://www.kapwing.com/templates/card/raksha-bandhan,kapwing.com,TARGETED+CONFIRMED,transactional,tool,1000-3000,EST,2,G4,do-not-attempt,10,https://www.kapwing.com/templates/card/raksha-bandhan|https://www.postermywall.com/index.php/posters/search|https://www.canva.com/create/raksha-bandhan-cards/,rakhi
raksha bandhan card design ideas handmade,C04,GENERATED,,GENERATED,informational,blog,2000-6000,EST,2,G4,do-not-attempt,10,https://www.canva.in/cards/templates/raksha-bandhan/|https://www.template.net/edit-online/536782/blank-hindu-raksha-bandhan-card,rakhi
digital rakhi card to send online to brother,C18,https://www.kuberbox.com/blog/tips-to-send-rakhi-online-to-your-brother/,kuberbox.com,TARGETED+CONFIRMED,commercial,blog,1000-3000,EST,3,G2,do-not-attempt,12,https://www.kuberbox.com/blog/tips-to-send-rakhi-online-to-your-brother/|https://www.canva.com/create/raksha-bandhan-cards/|https://www.myflowertree.com/rakhi-with-greeting-cards,rakhi
send rakhi online to brother in india,C18,https://www.rakhi.com/,rakhi.com,TARGETED+CONFIRMED,transactional,hub,10000-30000,EST,2,G2,do-not-attempt,8,https://www.rakhi.com/|https://www.bablarakhi.com/|https://www.nrirakhi.com/rakhi-cards/,rakhi
best raksha bandhan gift ideas for brother 2026,C14,https://www.rakhi.com/blog/rakhi-gifts-for-brother-2026-best-online-raksha-bandhan-gift-ideas/,rakhi.com,TARGETED+CONFIRMED,commercial,listicle,10000-30000,EST,2,G5,do-not-attempt,8,https://www.voylla.com/blogs/women/best-rakhi-gift-for-brother|https://www.nutraj.com/blogs/nutraj-blogs/10-best-gift-ideas-for-raksha-bandhan|https://shriprasadam.in/blogs/news/rakhi-gift-ideas,rakhi
why is rakhi tied on right hand,C15,https://www.igp.com/blog/why-rakhi-tied-on-right-wrist/,igp.com,TARGETED+CONFIRMED,informational,blog,3000-9000,EST,4,G5,do-not-attempt,9,https://www.oyehappy.com/blogs/blog/which-hand-to-tie-the-rakhi-on|https://www.amritapuri.org/3539/rakshabandan.aum|https://www.igp.com/rakhi/rakhi-frequently-asked-questions,rakhi
what is the significance of raksha bandhan,C15,https://www.amritapuri.org/3539/rakshabandan.aum,amritapuri.org,TARGETED,informational,blog,10000-30000,EST,4,G5,do-not-attempt,9,https://www.amritapuri.org/3539/rakshabandan.aum|https://www.thenationalnews.com/lifestyle/things-to-do/2025/08/06/raksha-bandhan-indian-festival-explained/,rakhi
rakhi frequently asked questions,C15,https://www.igp.com/rakhi/rakhi-frequently-asked-questions,igp.com,TARGETED,informational,hub,500-1500,EST,4,G5,do-not-attempt,6,https://www.igp.com/rakhi/rakhi-frequently-asked-questions|https://www.giftstoindia24x7.com/a/rakhi-faq,rakhi
rakhi,C20,GENERATED,,GENERATED,navigational,hub,100000-300000,EST,0,G1,do-not-attempt,,,rakhi
raksha bandhan,C20,GENERATED,,GENERATED,navigational,hub,100000-300000,EST,0,G1,do-not-attempt,,,rakhi
