keyword,cluster_id,source_url,source_domain,evidence_type,intent,page_type_required,est_volume,volume_source,weakness_count,gate_failed,bucket,priority_score,ranking_urls,category,action,own_url,own_position,expected_clicks,trend,peak_window,publish_by,demand_rank
how raksha bandhan is celebrated,E05,AUTOCOMPLETE,AUTOCOMPLETE,AUTOCOMPLETE,informational,blog,,EST,,,unverified,2,,explainer,new-page,,none,,seasonal,2027-08-03..2027-08-17,2027-06-22,2
raksha bandhan history in hindi,L04,AUTOCOMPLETE,AUTOCOMPLETE,AUTOCOMPLETE,informational,blog,,EST,,,unverified,2,,language,new-page,,none,,seasonal,2027-08-03..2027-08-17,2027-06-22,2
raksha bandhan lines in english,W05,AUTOCOMPLETE,AUTOCOMPLETE,AUTOCOMPLETE,informational,blog,,EST,,,unverified,2,,wishes,new-page,,none,,seasonal,2027-08-03..2027-08-17,2027-06-22,2
rakhi card for brother online free,P05,AUTOCOMPLETE,AUTOCOMPLETE,AUTOCOMPLETE,transactional,tool,,EST,,,unverified,2,,product-intent,new-page,,none,,seasonal,2027-08-03..2027-08-17,2027-06-22,2
raksha bandhan card ideas,P06,AUTOCOMPLETE,AUTOCOMPLETE,AUTOCOMPLETE,transactional,tool,,EST,,,unverified,2,,product-intent,new-page,,none,,seasonal,2027-08-03..2027-08-17,2027-06-22,2
raksha bandhan letter for soldiers in english,W06,AUTOCOMPLETE,AUTOCOMPLETE,AUTOCOMPLETE,informational,blog,,EST,,,unverified,2,,wishes,new-page,,none,,seasonal,2027-08-03..2027-08-17,2027-06-22,2
raksha bandhan quotes in english,S04,AUTOCOMPLETE,AUTOCOMPLETE,AUTOCOMPLETE,informational,blog,,EST,,,unverified,2,,social,new-page,,none,,seasonal,2027-08-03..2027-08-17,2027-06-22,2
raksha bandhan quotes without sister,S05,AUTOCOMPLETE,AUTOCOMPLETE,AUTOCOMPLETE,informational,blog,,EST,,,unverified,2,,social,new-page,,none,,seasonal,2027-08-03..2027-08-17,2027-06-22,2
raksha bandhan template photo,P07,AUTOCOMPLETE,AUTOCOMPLETE,AUTOCOMPLETE,transactional,tool,,EST,,,unverified,2,,product-intent,new-page,,none,,seasonal,2027-08-03..2027-08-17,2027-06-22,2
raksha bandhan wishes for younger brother,R03,SERP-VERIFIED,AUTOCOMPLETE,TARGETED+CONFIRMED,informational,blog,300-1000,EST,5,,winnable,6,,relationship,new-page,,none,10,seasonal,2027-08-03..2027-08-17,2027-06-22,2
raksha bandhan letter for brother in gujarati,L05,AUTOCOMPLETE,AUTOCOMPLETE,AUTOCOMPLETE,informational,blog,,EST,,,unverified,2,,language,new-page,,none,,seasonal,2027-08-03..2027-08-17,2027-06-22,2
raksha bandhan online photo editor,P08,AUTOCOMPLETE,AUTOCOMPLETE,AUTOCOMPLETE,transactional,tool,,EST,,,unverified,2,,product-intent,new-page,,none,,seasonal,2027-08-03..2027-08-17,2027-06-22,2
raksha bandhan video maker online free,P09,AUTOCOMPLETE,AUTOCOMPLETE,AUTOCOMPLETE,transactional,tool,,EST,,,unverified,2,,product-intent,new-page,,none,,seasonal,2027-08-03..2027-08-17,2027-06-22,2
raksha bandhan wishes in telugu,L06,SERP-VERIFIED,AUTOCOMPLETE,TARGETED+CONFIRMED,informational,blog,300-1000,EST,4,,winnable,6,,language,new-page,,none,29,seasonal,2027-08-03..2027-08-17,2027-06-22,2
raksha bandhan wishes shayari,S06,AUTOCOMPLETE,AUTOCOMPLETE,AUTOCOMPLETE,informational,blog,,EST,,,unverified,2,,social,new-page,,none,,seasonal,2027-08-03..2027-08-17,2027-06-22,2
what to write in raksha bandhan card,P10,AUTOCOMPLETE,AUTOCOMPLETE,AUTOCOMPLETE,transactional,tool,,EST,,,unverified,2,,product-intent,new-page,,none,,seasonal,2027-08-03..2027-08-17,2027-06-22,2
who celebrate raksha bandhan,W07,AUTOCOMPLETE,AUTOCOMPLETE,AUTOCOMPLETE,informational,blog,,EST,,,unverified,2,,wishes,new-page,,none,,seasonal,2027-08-03..2027-08-17,2027-06-22,2
why raksha bandhan is celebrated according to hindu mythology,E06,AUTOCOMPLETE,AUTOCOMPLETE,AUTOCOMPLETE,informational,blog,,EST,,,unverified,2,,explainer,new-page,,none,,seasonal,2027-08-03..2027-08-17,2027-06-22,2
raksha bandhan poster maker,P11,AUTOCOMPLETE,AUTOCOMPLETE,AUTOCOMPLETE,transactional,tool,,EST,,,unverified,2,,product-intent,new-page,,none,,seasonal,2027-08-03..2027-08-17,2027-06-22,2
raksha bandhan template edit,P12,AUTOCOMPLETE,AUTOCOMPLETE,AUTOCOMPLETE,transactional,tool,,EST,,,unverified,2,,product-intent,new-page,,none,,seasonal,2027-08-03..2027-08-17,2027-06-22,2
raksha bandhan wishes with emoji,W08,AUTOCOMPLETE,AUTOCOMPLETE,AUTOCOMPLETE,informational,blog,,EST,,,unverified,2,,wishes,new-page,,none,,seasonal,2027-08-03..2027-08-17,2027-06-22,2
raksha bandhan collage maker,P13,AUTOCOMPLETE,AUTOCOMPLETE,AUTOCOMPLETE,transactional,tool,,EST,,,unverified,2,,product-intent,new-page,,none,,seasonal,2027-08-03..2027-08-17,2027-06-22,2
raksha bandhan online wishes,P14,AUTOCOMPLETE,AUTOCOMPLETE,AUTOCOMPLETE,transactional,tool,,EST,,,unverified,2,,product-intent,new-page,,none,,seasonal,2027-08-03..2027-08-17,2027-06-22,2
