keyword,cluster_id,source_url,source_domain,evidence_type,intent,page_type_required,est_volume,volume_source,weakness_count,gate_failed,bucket,priority_score,ranking_urls,category,action,own_url,own_position,expected_clicks,trend,peak_window,publish_by,demand_rank
raksha bandhan kab hai,C09,https://en.wikipedia.org/wiki/Raksha_Bandhan,wikipedia.org,TARGETED+CONFIRMED,informational,blog,10000-30000,EST,0,G4,do-not-attempt,0,https://www.brut.media/in/articles/india/society/raksha-bandhan-2026-when-is-rakhi-date-shubh-muhurat-and-what-to-know|https://www.caratlane.com/blog/when-is-rakhi-date-shubh-muhurat-history-significance/|https://en.wikipedia.org/wiki/Raksha_Bandhan,rakhi,skip,,none,0,seasonal,2026-08-10..2026-08-28,2026-06-05,8
raksha bandhan 2026 muhurat,C09,https://www.ibtimes.co.in/raksha-bandhan-2026-date-shubh-muhurat-purnima-tithi-bhadra-timings-904999,ibtimes.co.in,TARGETED+CONFIRMED,informational,blog,10000-30000,EST,0,G4,do-not-attempt,0,https://www.brut.media/in/articles/india/society/raksha-bandhan-2026-when-is-rakhi-date-shubh-muhurat-and-what-to-know|https://www.ibtimes.co.in/raksha-bandhan-2026-date-shubh-muhurat-purnima-tithi-bhadra-timings-904999,rakhi,skip,,none,0,seasonal,2026-08-10..2026-08-28,2026-06-05,6
raksha bandhan 2027 date,C10,https://en.wikipedia.org/wiki/Raksha_Bandhan,wikipedia.org,TARGETED+CONFIRMED,informational,blog,3000-10000,EST,0,G4,do-not-attempt,0,https://dharmalok.org/festivals/2027/raksha-bandhan/|https://samvat.in/festivals/raksha-bandhan-2027/|https://en.wikipedia.org/wiki/Raksha_Bandhan,rakhi,skip,,none,0,seasonal,2027-08-03..2027-08-17,2027-05-25,3
rakhi gift ideas for brother,C11,AUTOCOMPLETE,AUTOCOMPLETE,AUTOCOMPLETE,transactional,listicle,10000-30000,EST,1,G2,do-not-attempt,0,,rakhi,skip,,none,0,seasonal,2026-08-10..2026-08-28,2026-06-05,6
rakhi for brother with chocolate,C11,AUTOCOMPLETE,AUTOCOMPLETE,AUTOCOMPLETE,transactional,listicle,3000-10000,EST,1,G2,do-not-attempt,0,,rakhi,skip,,none,0,seasonal,2026-08-10..2026-08-28,2026-06-05,6
raksha bandhan free bus service 2026,C12,AUTOCOMPLETE,AUTOCOMPLETE,AUTOCOMPLETE,informational,blog,3000-10000,EST,3,G1,do-not-attempt,0,,rakhi,skip,,none,0,seasonal,2026-08-10..2026-08-28,2026-06-05,4
bhai behan shayari raksha bandhan,C13,BACKLOG-2026-08-13-rakhi,BACKLOG,GENERATED,informational,blog,1000-3000,EST,4,,next-cycle,36,,rakhi,new-page,,none,88,seasonal,2027-08-03..2027-08-17,2027-05-25,
raksha bandhan photo video maker with music,C14,BACKLOG-2026-08-13-rakhi,BACKLOG,GENERATED,transactional,tool,300-1000,EST,4,,next-cycle,32,,rakhi,new-page,,none,29,seasonal,2027-08-03..2027-08-17,2027-06-22,
raksha bandhan quotes for cousin brother,C15,BACKLOG-2026-08-13-rakhi,BACKLOG,GENERATED,informational,blog,300-1000,EST,4,,next-cycle,24,,rakhi,merge-into-existing,https://subhsandesh.in/blog/rakhi-wishes-for-cousin-brother,,29,seasonal,2027-08-03..2027-08-17,2027-06-22,
raksha bandhan business wishes with company logo,C16,BACKLOG-2026-08-13-rakhi,BACKLOG,GENERATED,transactional,tool,300-1000,EST,5,,next-cycle,40,,rakhi,new-page,,none,43,seasonal,2027-08-03..2027-08-17,2027-06-22,2
instagram captions and status for raksha bandhan,C17,BACKLOG-2026-08-13-rakhi,BACKLOG,GENERATED,informational,blog,1000-3000,EST,4,,next-cycle,36,,rakhi,merge-into-existing,https://subhsandesh.in/blog/rakhi-quotes-one-liners-for-instagram,,88,seasonal,2027-08-03..2027-08-17,2027-05-25,
rakhi card with name and message,C18,BACKLOG-2026-08-13-rakhi,BACKLOG,GENERATED,transactional,tool,1000-3000,EST,5,,next-cycle,50,,rakhi,merge-into-existing,https://subhsandesh.in/blog/personalised-raksha-bandhan-card-with-name,,130,seasonal,2027-08-03..2027-08-17,2027-05-25,
rakhi greeting video for brother online,C19,BACKLOG-2026-08-13-rakhi,BACKLOG,GENERATED,transactional,tool,300-1000,EST,4,,next-cycle,32,,rakhi,merge-into-existing,https://subhsandesh.in/blog/raksha-bandhan-video-maker-with-photo-and-music,,29,seasonal,2027-08-03..2027-08-17,2027-06-22,
personalised raksha bandhan card with name and photo,C20,SITE-COLLISION,OWN-SITE,GSC,transactional,tool,1000-3000,EST,,,own-already,0,,rakhi,merge-into-existing,https://subhsandesh.in/blog/personalised-raksha-bandhan-card-with-name,,0,seasonal,2027-08-03..2027-08-17,,
raksha bandhan message for brother in marathi,C21,SITE-COLLISION,OWN-SITE,GSC,informational,blog,300-1000,EST,,,own-already,0,,rakhi,merge-into-existing,https://subhsandesh.in/blog/raksha-bandhan-wishes-for-brother-in-marathi,,0,seasonal,2027-08-03..2027-08-17,,
happy raksha bandhan wishes with name,C22,SITE-COLLISION,OWN-SITE,GSC,transactional,tool,1000-3000,EST,,,own-already,0,,rakhi,merge-into-existing,https://subhsandesh.in/blog/raksha-bandhan-wishes-with-name-and-photo,,0,seasonal,2027-08-03..2027-08-17,,
raksha bandhan wishes for sister from sister,C23,SITE-COLLISION,OWN-SITE,GSC,informational,blog,300-1000,EST,,,own-already,0,,rakhi,merge-into-existing,https://subhsandesh.in/blog/happy-raksha-bandhan-wishes-for-sister-from-brother,,0,seasonal,2027-08-03..2027-08-17,,
raksha bandhan 2027 wishes,C24,https://blog.bluestone.com/raksha-bandhan-quotes-in-english/,bluestone.com,TARGETED+CONFIRMED,informational,blog,3000-10000,EST,6,,winnable,80,https://blog.bluestone.com/raksha-bandhan-quotes-in-english/|https://blissfulreads.com/wishes/raksha-bandhan-wishes-and-quotes|https://www.iforher.com/life-culture/festivals/raksha-bandhan-wishes-quotes-rakhi-messages/,rakhi,new-page,,none,430,seasonal,2027-08-03..2027-08-17,2027-06-22,5
raksha bandhan 2027 quotes,C24,https://www.vyapargrow.com/raksha-bandhan-wishes/,vyapargrow.com,TARGETED,informational,blog,1000-3000,EST,6,,winnable,60,https://blog.bluestone.com/raksha-bandhan-quotes-in-english/|https://shrimahalaxmicalendar.com/raksha-bandhan-2027/,rakhi,new-page,,none,130,seasonal,2027-08-03..2027-08-17,2027-06-22,3
happy raksha bandhan 2026 wishes,C24,https://www.babyorgano.com/blogs/babyorgano/happy-raksha-bandhan-wishes-for-everyone,babyorgano.com,TARGETED+CONFIRMED,informational,blog,3000-10000,EST,6,G0,next-cycle,80,https://blog.bluestone.com/raksha-bandhan-quotes-in-english/|https://www.vedantu.com/blog/raksha-bandhan-celebration|https://www.caratlane.com/blog/happy-rakhi-wishes-quotes-messages/,rakhi,new-page,,none,430,seasonal,2026-08-10..2026-08-28,2026-06-05,7
raksha bandhan wishes 2026 for brother and sister,C24,https://www.interflora.in/blog/100-rakhi-wishes-messages-greetings-for-raksha-bandhan,interflora.in,TARGETED+CONFIRMED,informational,blog,1000-3000,EST,6,G0,next-cycle,60,https://www.caratlane.com/blog/happy-rakhi-wishes-quotes-messages/|https://blog.bluestone.com/rakhi-wishes-2026/|https://www.interflora.in/blog/100-rakhi-wishes-messages-greetings-for-raksha-bandhan,rakhi,new-page,,none,130,seasonal,2026-08-10..2026-08-28,2026-06-05,4
raksha bandhan 2026,C25,https://www.eternz.com/blog/raksha-bandhan-2026-date-history-meaning-rituals-rakhi-celebration-guide/,eternz.com,TARGETED+CONFIRMED,informational,hub,10000-30000,EST,4,G2,do-not-attempt,0,https://www.brut.media/in/articles/india/society/raksha-bandhan-2026-when-is-rakhi-date-shubh-muhurat-and-what-to-know|https://www.drikpanchang.com/festivals/raksha-bandhan/raksha-bandhan-date-time.html|https://www.youtube.com/watch?v=19CyHJeSwhY,rakhi,skip,,none,0,seasonal,2026-08-10..2026-08-28,2026-06-05,7
rakhi 2026,C25,https://www.usarakhi.com/raksha-bandhan,usarakhi.com,TARGETED+CONFIRMED,transactional,hub,10000-30000,EST,3,G2,do-not-attempt,0,https://www.drikpanchang.com/festivals/raksha-bandhan/raksha-bandhan-date-time.html|https://www.caratlane.com/blog/when-is-rakhi-date-shubh-muhurat-history-significance/|https://en.wikipedia.org/wiki/Raksha_Bandhan,rakhi,skip,,none,0,seasonal,2026-08-10..2026-08-28,2026-06-05,6
