keyword,cluster_id,source_url,source_domain,evidence_type,intent,page_type_required,est_volume,volume_source,weakness_count,gate_failed,bucket,priority_score,ranking_urls,category,action,own_url,own_position,expected_clicks,trend,peak_window,publish_by,demand_rank
"ganesh chaturthi essay",C10,AUTOCOMPLETE,google-suggest,AUTOCOMPLETE,informational,blog,3000-10000,EST,3,,medium,24,,essay,new-page,,none,78 EST,seasonal,2026-09-14..2026-09-25,2026-09-10,1
"why ganesh chaturthi is celebrated",C10,AUTOCOMPLETE,google-suggest,AUTOCOMPLETE,informational,blog,1000-3000,EST,3,,medium,18,,essay,new-page,,none,24 EST,seasonal,2026-09-14..2026-09-25,2026-09-10,1
"ganesh chaturthi rangoli designs",C05,AUTOCOMPLETE,google-suggest,AUTOCOMPLETE,informational,listicle,1000-3000,EST,4,,medium,18,,decoration,new-page,,none,24 EST,seasonal,2026-09-14..2026-09-25,2026-09-10,1
"ganpati invitation card",C11,AUTOCOMPLETE,google-suggest,AUTOCOMPLETE,transactional,tool,1000-3000,EST,4,,medium,45,,invitation,new-page,,none,88 EST,seasonal,2026-09-14..2026-09-25,2026-09-10,2
"ganpati visarjan 2026",C12,AUTOCOMPLETE,google-suggest,AUTOCOMPLETE,informational,blog,3000-10000,EST,3,,medium,24,,date/muhurat,new-page,,none,290 EST,seasonal,2026-09-14..2026-09-25,2026-09-10,3
"ganesh chaturthi invitation card online",C11,AUTOCOMPLETE,google-suggest,AUTOCOMPLETE+SERP_CHECKED,transactional,tool,300-1000,EST,4,,medium,30,,invitation,new-page,,none,29 EST,seasonal,2026-09-14..2026-09-25,2026-09-10,1
"free ganesh chaturthi invitation maker",C11,AUTOCOMPLETE,google-suggest,AUTOCOMPLETE,transactional,tool,300-1000,EST,4,,medium,30,,invitation,new-page,,none,29 EST,seasonal,2026-09-14..2026-09-25,2026-09-10,1
"ganesh chaturthi invitation maker",C11,AUTOCOMPLETE,google-suggest,AUTOCOMPLETE,transactional,tool,300-1000,EST,4,,medium,30,,invitation,new-page,,none,29 EST,seasonal,2026-09-14..2026-09-25,2026-09-10,1
"ganesh chaturthi card maker",C11,AUTOCOMPLETE,google-suggest,AUTOCOMPLETE,transactional,tool,300-1000,EST,4,,medium,30,,invitation,new-page,,none,29 EST,seasonal,2026-09-14..2026-09-25,2026-09-10,1
"ganpati invite template",C11,AUTOCOMPLETE,google-suggest,AUTOCOMPLETE,transactional,tool,300-1000,EST,4,,medium,30,,invitation,new-page,,none,29 EST,seasonal,2026-09-14..2026-09-25,2026-09-10,2
"ganpati template for invitation",C11,AUTOCOMPLETE,google-suggest,AUTOCOMPLETE,transactional,tool,0-300,EST,4,,medium,15,,invitation,new-page,,none,7 EST,seasonal,2026-09-14..2026-09-25,2026-09-10,1
"happy ganesh chaturthi with name",C13,AUTOCOMPLETE,google-suggest,AUTOCOMPLETE+SERP_CHECKED,transactional,tool,300-1000,EST,6,,winnable,50,,personalised,new-page,,none,43 EST,seasonal,2026-09-14..2026-09-25,2026-09-10,1
"happy ganesh chaturthi name style",C13,AUTOCOMPLETE,google-suggest,AUTOCOMPLETE,transactional,tool,300-1000,EST,6,,winnable,50,,personalised,new-page,,none,43 EST,seasonal,2026-09-14..2026-09-25,2026-09-10,1
"happy ganesh chaturthi photo editor online",C13,AUTOCOMPLETE,google-suggest,AUTOCOMPLETE,transactional,tool,300-1000,EST,6,,winnable,50,,personalised,new-page,,none,43 EST,seasonal,2026-09-14..2026-09-25,2026-09-10,2
"ganesh chaturthi greeting card",C13,AUTOCOMPLETE,google-suggest,AUTOCOMPLETE,transactional,tool,1000-3000,EST,6,,winnable,75,,personalised,new-page,,none,130 EST,seasonal,2026-09-14..2026-09-25,2026-09-10,1
"happy ganesh chaturthi for status",C03,AUTOCOMPLETE,google-suggest,AUTOCOMPLETE,informational,listicle,1000-3000,EST,5,,winnable,30,,status,new-page,,none,130 EST,seasonal,2026-09-14..2026-09-25,2026-09-10,2
"happy ganesh chaturthi video status download",C03,AUTOCOMPLETE,google-suggest,AUTOCOMPLETE,transactional,listicle,300-1000,EST,5,,winnable,50,,status,new-page,,none,43 EST,seasonal,2026-09-14..2026-09-25,2026-09-10,1
"happy ganesh chaturthi stickers for whatsapp",C03,AUTOCOMPLETE,google-suggest,AUTOCOMPLETE,transactional,tool,300-1000,EST,5,,winnable,50,,status,new-page,,none,43 EST,seasonal,2026-09-14..2026-09-25,2026-09-10,1
"happy ganesh chaturthi images for whatsapp",C04,AUTOCOMPLETE,google-suggest,AUTOCOMPLETE,informational,listicle,300-1000,EST,5,,winnable,20,,images,new-page,,none,43 EST,seasonal,2026-09-14..2026-09-25,2026-09-10,1
"ganesh chaturthi quotes for instagram",C02,AUTOCOMPLETE,google-suggest,AUTOCOMPLETE,informational,listicle,300-1000,EST,5,,winnable,20,,wishes,new-page,,none,43 EST,seasonal,2026-09-14..2026-09-25,2026-09-10,1
"happy ganesh chaturthi good morning wishes",C02,AUTOCOMPLETE,google-suggest,AUTOCOMPLETE,informational,listicle,300-1000,EST,5,,winnable,20,,wishes,new-page,,none,43 EST,seasonal,2026-09-14..2026-09-25,2026-09-10,2
"happy ganesh chaturthi wishes in kannada",C06,AUTOCOMPLETE,google-suggest,AUTOCOMPLETE,informational,listicle,300-1000,EST,7,,winnable,20,,language,new-page,,none,43 EST,seasonal,2026-09-14..2026-09-25,2026-09-10,1
"happy ganesh chaturthi wishes in telugu",C06,AUTOCOMPLETE,google-suggest,AUTOCOMPLETE,informational,listicle,300-1000,EST,7,,winnable,20,,language,new-page,,none,43 EST,seasonal,2026-09-14..2026-09-25,2026-09-10,1
"happy ganesh chaturthi gujarati wishes",C06,AUTOCOMPLETE,google-suggest,AUTOCOMPLETE,informational,listicle,0-300,EST,7,,winnable,10,,language,new-page,,none,10 EST,seasonal,2026-09-14..2026-09-25,2026-09-10,1
"ganesh chaturthi quotes in marathi",C06,AUTOCOMPLETE,google-suggest,AUTOCOMPLETE,informational,listicle,1000-3000,EST,7,,winnable,30,,language,new-page,,none,130 EST,seasonal,2026-09-14..2026-09-25,2026-09-10,1
"ganpati decoration ideas at home",C05,AUTOCOMPLETE,google-suggest,AUTOCOMPLETE,informational,listicle,1000-3000,EST,3,,medium,18,,decoration,new-page,,none,88 EST,seasonal,2026-09-14..2026-09-25,2026-09-10,3
"ganesh chaturthi 2026 start and end date",C01,AUTOCOMPLETE,google-suggest,AUTOCOMPLETE,informational,blog,300-1000,EST,3,,medium,12,,date/muhurat,new-page,,none,29 EST,seasonal,2026-09-14..2026-09-25,2026-09-10,3
"ganesh chaturthi 2026 how many days to go",C01,AUTOCOMPLETE,google-suggest,AUTOCOMPLETE,informational,blog,300-1000,EST,3,,medium,12,,date/muhurat,new-page,,none,29 EST,seasonal,2026-09-14..2026-09-25,2026-09-10,3
"why ganpati visarjan is done in water",C12,AUTOCOMPLETE,google-suggest,AUTOCOMPLETE,informational,blog,300-1000,EST,4,,medium,12,,essay,new-page,,none,29 EST,seasonal,2026-09-14..2026-09-25,2026-09-10,1
"ganesh chaturthi essay in hindi 200 words",C10,AUTOCOMPLETE,google-suggest,AUTOCOMPLETE,informational,blog,300-1000,EST,4,,medium,12,,essay,new-page,,none,29 EST,seasonal,2026-09-14..2026-09-25,2026-09-10,1
